epglnren,sup_riscaldata,sup_raffrescata,vol_riscaldato,vol_raffrescato,sup_disperdente,rapsv,asolsut,classe_energetica,presenza_clim_invernale,presenza_clim_estiva,presenza_produzione_acs,yie,anno_costruzione,zona_climatica,d_uso_Residenziale,tipologia_edilizia,tipologia_costruttiva,num_servizi,efficienza_media,potenza_tot,num_simulati,construction_era,piano,tip_edilizia_sq,zona_clim_num,zona_clim_gg_mid
196.28,210.07,0.0,865.2,0.0,540.37,0.6246,0.0503,F,True,False,True,0.1794,1946-1960,D,True,1,muratura portante,2,0.835,54.8,0,1,multi_floor,1,4,1750
193.17,72.29,72.29,261.13,261.13,176.77,0.6769,0.055,E,True,True,True,0.156,1992-2005,D,True,5,c.a. con laterizi,3,0.6,29.62,0,3,ground,25,4,1750
173.49,47.9,0.0,202.85,0.0,108.34,0.5341,0.0412,G,True,False,True,0.2196,before 1930,E,True,3,muratura portante,2,0.515,1.5,1,1,ground,9,5,2550
177.51,60.0,60.0,217.08,217.08,171.9,0.7918,0.034,D,True,True,True,0.541,1961-1975,D,True,8,legno,3,0.7166666666666667,13.0,0,1,underground,64,4,1750
173.88,194.01,0.0,785.11,0.0,523.24,0.6665,0.0692,F,True,False,True,0.1252,before 1930,E,True,1,muratura portante,2,0.79,48.2,0,1,multi_floor,1,5,2550
226.74,56.77,0.0,233.57,0.0,166.08,0.711,0.0311,G,True,False,True,0.0245,before 1930,E,True,4,muratura portante,2,0.56,48.0,0,1,upper,16,5,2550
222.1,66.77,0.0,245.47,0.0,192.9,0.7858,0.059,F,True,False,True,0.4701,1930-1945,D,True,4,c.a. con laterizi,2,0.61,48.0,0,1,ground,16,4,1750
259.86,78.41,0.0,285.79,0.0,215.15,0.7528,0.0,E,True,False,True,0.4701,1930-1945,D,True,4,c.a. con laterizi,2,0.6100000000000001,48.0,0,1,upper,16,4,1750
54.6,74.17,0.0,257.23,0.0,114.94,0.4468,0.0617,C,True,False,True,0.1536,1992-2005,D,True,4,c.a. con laterizi,2,0.685,48.0,0,3,upper,16,4,1750
99.6,69.19,0.0,266.52,0.0,102.09,0.3831,0.0365,F,True,False,True,0.4763,1961-1975,E,True,3,muratura portante,2,0.74,47.4,0,1,upper,9,5,2550
128.32,65.3,27.12,241.18,102.94,79.76,0.3307,0.0601,E,True,True,True,0.7034,1976-1985,D,True,3,c.a. con laterizi,3,0.5933333333333334,50.599999999999994,0,2,upper,9,4,1750
331.56,56.14,0.0,199.41,0.0,149.91,0.7517,0.073,G,True,False,True,0.8724,1976-1985,D,True,8,c.a. con laterizi,2,0.46499999999999997,48.0,0,2,upper,64,4,1750
255.91,33.17,0.0,166.8,0.0,168.02,1.0073,0.0246,G,True,False,True,0.201,1930-1945,D,True,4,muratura portante,2,0.495,47.2,0,1,upper,16,4,1750
94.83,102.13,0.0,342.76,0.0,115.69,0.3375,0.065,E,True,False,True,0.6055,1992-2005,D,True,3,c.a. con laterizi,2,0.58,46.6,0,3,upper,9,4,1750
185.1,79.55,0.0,320.98,0.0,106.72,0.3325,0.0125,F,True,False,True,0.353,1946-1960,D,True,3,muratura portante,2,0.7050000000000001,48.4,0,1,upper,9,4,1750
158.86,18.81,18.81,82.5,82.5,78.21,0.9479,0.0303,B,True,True,False,0.4902,1946-1960,D,False,3,muratura portante,3,0.675,7.4399999999999995,0,1,ground,9,4,1750
330.17,120.58,0.0,500.53,0.0,515.3,1.0295,0.0782,G,True,False,True,0.507,1976-1985,D,True,1,muratura portante,2,0.655,50.6,0,1,multi_floor,1,4,1750
218.51,73.96,73.96,331.86,331.86,262.86,0.7921,0.0445,E,True,True,True,0.3858,1961-1975,D,True,3,c.a. con laterizi,3,0.7533333333333334,50.9,0,1,ground,9,4,1750
84.41,81.15,0.0,275.77,0.0,103.02,0.3736,0.023,D,True,False,True,0.1906,2006-2007,D,True,3,c.a. con laterizi,2,0.745,47.4,0,3,unknown,9,4,1750
166.9,83.0,0.0,316.51,0.0,209.26,0.6611,0.0219,F,True,False,True,0.4171,1961-1975,D,True,4,muratura portante,2,0.66,36.2,0,1,ground,16,4,1750
106.95,163.42,0.0,624.47,0.0,269.55,0.4316,0.0195,E,True,False,True,0.4511,1992-2005,D,True,2,mista (c.a. + laterizi),2,0.645,33.8,0,3,multi_floor,4,4,1750
229.52,400.7,0.0,2200.2,0.0,309.0,0.1404,0.01,G,True,False,True,0.28,1992-2005,E,False,4,prefabbricata in c.a.,2,0.85,46.6,0,3,multi_floor,16,5,2550
